datetime,price
2011-01-03,315.8
2011-01-10,317.7
2011-01-17,319.2
2011-01-24,320.8
2011-01-31,321
2011-02-07,322.1
2011-02-14,322.7
2011-02-21,324.6
2011-02-28,340.3
2011-03-07,354.8
2011-03-14,359.1
2011-03-21,359.1
2011-03-28,360.5
2011-04-04,367.6
2011-04-11,376.6
2011-04-18,386.6
2011-04-25,394.5
2011-05-02,404.5
2011-05-09,406.9
2011-05-16,406.4
2011-05-23,399.6
2011-05-30,392.9
2011-06-06,386.9
2011-06-13,383.3
2011-06-20,379.2
2011-06-27,375.9
2011-07-04,372
2011-07-11,376.2
2011-07-18,380.8
2011-07-25,383.9
2011-08-01,386.3
2011-08-08,382.5
2011-08-15,375.9
2011-08-22,370.8
2011-08-29,370.8
2011-09-05,373.7
2011-09-12,373.5
2011-09-19,369.2
2011-09-26,362.5
2011-10-03,354.9
2011-10-10,350.5
2011-10-17,353.5
2011-10-24,353.3
2011-10-31,351
2011-11-07,348.6
2011-11-14,348.7
2011-11-21,345.4
2011-11-28,341.4
2011-12-05,337
2011-12-12,336.3
2011-12-19,333.5
2011-12-26,333.1
2012-01-02,336.6
2012-01-09,345.9
2012-01-16,348.4
2012-01-23,352.2
2012-01-30,358.8
2012-02-06,361.9
2012-02-13,366
2012-02-20,370.3
2012-02-27,377.2
2012-03-05,381
2012-03-12,381.7
2012-03-19,382.5
2012-03-26,386.9
2012-04-02,391.3
2012-04-09,397.4
2012-04-16,396.3
2012-04-23,395
2012-04-30,389.9
2012-05-07,385.1
2012-05-14,380.8
2012-05-21,375.8
2012-05-28,370.5
2012-06-04,366
2012-06-11,358.4
2012-06-18,351.4
2012-06-25,346.7
2012-07-02,344.3
2012-07-09,349.7
2012-07-16,355.3
2012-07-23,364.9
2012-07-30,365.3
2012-08-06,370.5
2012-08-13,379.4
2012-08-20,382.1
2012-08-27,383.8
2012-09-03,386.9
2012-09-10,389.5
2012-09-17,399
2012-09-24,393.8
2012-10-01,393.1
2012-10-08,395.8
2012-10-15,391.7
2012-10-22,381.6
2012-10-29,369.2
2012-11-05,369.5
2012-11-12,370
2012-11-19,373.2
2012-11-26,370.9
2012-12-03,364.9
2012-12-10,359.9
2012-12-17,353.6
2012-12-24,351.8
2012-12-31,353.8
